name,family,category,is_body,is_serif,is_italic,weight
ABeeZee 400,ABeeZee,sans-serif,1,0,0,regular
ABeeZee 400 Italic,ABeeZee,sans-serif,1,0,1,regular
Abel,Abel,sans-serif,1,0,0,regular
Abhaya Libre 400,Abhaya Libre,serif,1,1,0,regular
Abhaya Libre 500,Abhaya Libre,serif,1,1,0,medium
Abhaya Libre 600,Abhaya Libre,serif,1,1,0,semibold
Abhaya Libre 700,Abhaya Libre,serif,1,1,0,bold
Abhaya Libre 800,Abhaya Libre,serif,1,1,0,extrabold
Abril Fatface,Abril Fatface,display,0,1,0,regular
Aclonica,Aclonica,sans-serif,1,0,0,regular
Acme,Acme,sans-serif,1,0,0,regular
Actor,Actor,sans-serif,1,0,0,regular
Adamina,Adamina,serif,1,1,0,regular
Advent Pro 100,Advent Pro,sans-serif,1,0,0,thin
Advent Pro 200,Advent Pro,sans-serif,1,0,0,extralight
Advent Pro 300,Advent Pro,sans-serif,1,0,0,light
Advent Pro 400,Advent Pro,sans-serif,1,0,0,regular
Advent Pro 500,Advent Pro,sans-serif,1,0,0,medium
Advent Pro 600,Advent Pro,sans-serif,1,0,0,semibold
Advent Pro 700,Advent Pro,sans-serif,1,0,0,bold
Aguafina Script,Aguafina Script,handwriting,1,0,0,regular
Akronim,Akronim,display,0,1,0,regular
Aladin,Aladin,handwriting,1,0,0,regular
Aldrich,Aldrich,sans-serif,1,0,0,regular
Alef 400,Alef,sans-serif,1,0,0,regular
Alef 700,Alef,sans-serif,1,0,0,bold
Alegreya 400,Alegreya,serif,1,1,0,regular
Alegreya 400 Italic,Alegreya,serif,1,1,1,regular
Alegreya 500,Alegreya,serif,1,1,1,medium
Alegreya 500 Italic,Alegreya,serif,1,1,1,medium
Alegreya 700,Alegreya,serif,1,1,1,bold
Alegreya 700 Italic,Alegreya,serif,1,1,1,bold
Alegreya 800,Alegreya,serif,1,1,1,extrabold
Alegreya 800 Italic,Alegreya,serif,1,1,1,extrabold
Alegreya 900,Alegreya,serif,1,1,1,black
Alegreya 900 Italic,Alegreya,serif,1,1,1,black
Alegreya SC 400,Alegreya SC,serif,1,1,0,regular
Alegreya SC 400 Italic,Alegreya SC,serif,1,1,1,regular
Alegreya SC 500,Alegreya SC,serif,1,1,1,medium
Alegreya SC 500 Italic,Alegreya SC,serif,1,1,1,medium
Alegreya SC 700,Alegreya SC,serif,1,1,1,bold
Alegreya SC 700 Italic,Alegreya SC,serif,1,1,1,bold
Alegreya SC 800,Alegreya SC,serif,1,1,1,extrabold
Alegreya SC 800 Italic,Alegreya SC,serif,1,1,1,extrabold
Alegreya SC 900,Alegreya SC,serif,1,1,1,black
Alegreya SC 900 Italic,Alegreya SC,serif,1,1,1,black
Alegreya Sans 100,Alegreya Sans,sans-serif,1,0,0,thin
Alegreya Sans 100 Italic,Alegreya Sans,sans-serif,1,0,1,thin
Alegreya Sans 300,Alegreya Sans,sans-serif,1,0,1,light
Alegreya Sans 300 Italic,Alegreya Sans,sans-serif,1,0,1,light
Alegreya Sans 400,Alegreya Sans,sans-serif,1,0,1,regular
Alegreya Sans 400 Italic,Alegreya Sans,sans-serif,1,0,1,regular
Alegreya Sans 500,Alegreya Sans,sans-serif,1,0,1,medium
Alegreya Sans 500 Italic,Alegreya Sans,sans-serif,1,0,1,medium
Alegreya Sans 700,Alegreya Sans,sans-serif,1,0,1,bold
Alegreya Sans 700 Italic,Alegreya Sans,sans-serif,1,0,1,bold
Alegreya Sans 800,Alegreya Sans,sans-serif,1,0,1,extrabold
Alegreya Sans 800 Italic,Alegreya Sans,sans-serif,1,0,1,extrabold
Alegreya Sans 900,Alegreya Sans,sans-serif,1,0,1,black
Alegreya Sans 900 Italic,Alegreya Sans,sans-serif,1,0,1,black
Alegreya Sans SC 100,Alegreya Sans SC,sans-serif,1,0,0,thin
Alegreya Sans SC 100 Italic,Alegreya Sans SC,sans-serif,1,0,1,thin
Alegreya Sans SC 300,Alegreya Sans SC,sans-serif,1,0,1,light
Alegreya Sans SC 300 Italic,Alegreya Sans SC,sans-serif,1,0,1,light
Alegreya Sans SC 400,Alegreya Sans SC,sans-serif,1,0,1,regular
Alegreya Sans SC 400 Italic,Alegreya Sans SC,sans-serif,1,0,1,regular
Alegreya Sans SC 500,Alegreya Sans SC,sans-serif,1,0,1,medium
Alegreya Sans SC 500 Italic,Alegreya Sans SC,sans-serif,1,0,1,medium
Alegreya Sans SC 700,Alegreya Sans SC,sans-serif,1,0,1,bold
Alegreya Sans SC 700 Italic,Alegreya Sans SC,sans-serif,1,0,1,bold
Alegreya Sans SC 800,Alegreya Sans SC,sans-serif,1,0,1,extrabold
Alegreya Sans SC 800 Italic,Alegreya Sans SC,sans-serif,1,0,1,extrabold
Alegreya Sans SC 900,Alegreya Sans SC,sans-serif,1,0,1,black
Alegreya Sans SC 900 Italic,Alegreya Sans SC,sans-serif,1,0,1,black
Aleo 300,Aleo,serif,1,1,0,light
Aleo 300 Italic,Aleo,serif,1,1,1,light
Aleo 400,Aleo,serif,1,1,1,regular
Aleo 400 Italic,Aleo,serif,1,1,1,regular
Aleo 700,Aleo,serif,1,1,1,bold
Aleo 700 Italic,Aleo,serif,1,1,1,bold
Alex Brush,Alex Brush,handwriting,1,0,0,regular
Alfa Slab One,Alfa Slab One,display,0,1,0,regular
Alice,Alice,serif,1,1,0,regular
Alike,Alike,serif,1,1,0,regular
Alike Angular,Alike Angular,serif,1,1,0,regular
Allan 400,Allan,display,0,0,0,regular
Allan 700,Allan,display,0,0,0,bold
Allerta,Allerta,sans-serif,1,0,0,regular
Allerta Stencil,Allerta Stencil,sans-serif,1,0,0,regular
Allura,Allura,handwriting,1,0,0,regular
Almendra 400,Almendra,serif,1,1,0,regular
Almendra 400 Italic,Almendra,serif,1,1,1,regular
Almendra 700,Almendra,serif,1,1,1,bold
Almendra 700 Italic,Almendra,serif,1,1,1,bold
Almendra Display,Almendra Display,display,0,1,0,regular
Almendra SC,Almendra SC,serif,1,1,0,regular
Amarante,Amarante,display,0,1,0,regular
Amaranth 400,Amaranth,sans-serif,1,0,0,regular
Amaranth 400 Italic,Amaranth,sans-serif,1,0,1,regular
Amaranth 700,Amaranth,sans-serif,1,0,1,bold
Amaranth 700 Italic,Amaranth,sans-serif,1,0,1,bold
Amatic SC 400,Amatic SC,handwriting,1,0,0,regular
Amatic SC 700,Amatic SC,handwriting,1,0,0,bold
Amethysta,Amethysta,serif,1,1,0,regular
Amiko 400,Amiko,sans-serif,1,0,0,regular
Amiko 600,Amiko,sans-serif,1,0,0,semibold
Amiko 700,Amiko,sans-serif,1,0,0,bold
Amiri 400,Amiri,serif,1,1,0,regular
Amiri 400 Italic,Amiri,serif,1,1,1,regular
Amiri 700,Amiri,serif,1,1,1,bold
Amiri 700 Italic,Amiri,serif,1,1,1,bold
Amita 400,Amita,handwriting,1,0,0,regular
Amita 700,Amita,handwriting,1,0,0,bold
Anaheim,Anaheim,sans-serif,1,0,0,regular
Andada,Andada,serif,1,1,0,regular
Andika,Andika,sans-serif,1,0,0,regular
Annie Use Your Telescope,Annie Use Your Telescope,handwriting,1,0,0,regular
Anonymous Pro 400,Anonymous Pro,monospace,1,1,0,regular
Anonymous Pro 400 Italic,Anonymous Pro,monospace,1,1,1,regular
Anonymous Pro 700,Anonymous Pro,monospace,1,1,1,bold
Anonymous Pro 700 Italic,Anonymous Pro,monospace,1,1,1,bold
Antic,Antic,sans-serif,1,0,0,regular
Antic Didone,Antic Didone,serif,1,1,0,regular
Antic Slab,Antic Slab,serif,1,1,0,regular
Anton,Anton,sans-serif,1,0,0,regular
Arapey 400,Arapey,serif,1,1,0,regular
Arapey 400 Italic,Arapey,serif,1,1,1,regular
Arbutus,Arbutus,display,0,1,0,regular
Arbutus Slab,Arbutus Slab,serif,1,1,0,regular
Architects Daughter,Architects Daughter,handwriting,1,0,0,regular
Archivo 400,Archivo,sans-serif,1,0,0,regular
Archivo 400 Italic,Archivo,sans-serif,1,0,1,regular
Archivo 500,Archivo,sans-serif,1,0,1,medium
Archivo 500 Italic,Archivo,sans-serif,1,0,1,medium
Archivo 600,Archivo,sans-serif,1,0,1,semibold
Archivo 600 Italic,Archivo,sans-serif,1,0,1,semibold
Archivo 700,Archivo,sans-serif,1,0,1,bold
Archivo 700 Italic,Archivo,sans-serif,1,0,1,bold
Archivo Black,Archivo Black,sans-serif,1,0,0,regular
Archivo Narrow 400,Archivo Narrow,sans-serif,1,0,0,regular
Archivo Narrow 400 Italic,Archivo Narrow,sans-serif,1,0,1,regular
Archivo Narrow 500,Archivo Narrow,sans-serif,1,0,1,medium
Archivo Narrow 500 Italic,Archivo Narrow,sans-serif,1,0,1,medium
Archivo Narrow 600,Archivo Narrow,sans-serif,1,0,1,semibold
Archivo Narrow 600 Italic,Archivo Narrow,sans-serif,1,0,1,semibold
Archivo Narrow 700,Archivo Narrow,sans-serif,1,0,1,bold
Archivo Narrow 700 Italic,Archivo Narrow,sans-serif,1,0,1,bold
Aref Ruqaa 400,Aref Ruqaa,serif,1,1,0,regular
Aref Ruqaa 700,Aref Ruqaa,serif,1,1,0,bold
Arima Madurai 100,Arima Madurai,display,0,1,0,thin
Arima Madurai 200,Arima Madurai,display,0,1,0,extralight
Arima Madurai 300,Arima Madurai,display,0,1,0,light
Arima Madurai 400,Arima Madurai,display,0,1,0,regular
Arima Madurai 500,Arima Madurai,display,0,1,0,medium
Arima Madurai 700,Arima Madurai,display,0,1,0,bold
Arima Madurai 800,Arima Madurai,display,0,1,0,extrabold
Arima Madurai 900,Arima Madurai,display,0,1,0,black
Arimo 400,Arimo,sans-serif,1,0,0,regular
Arimo 400 Italic,Arimo,sans-serif,1,0,1,regular
Arimo 700,Arimo,sans-serif,1,0,1,bold
Arimo 700 Italic,Arimo,sans-serif,1,0,1,bold
Arizonia,Arizonia,handwriting,1,0,0,regular
Armata,Armata,sans-serif,1,0,0,regular
Arsenal 400,Arsenal,sans-serif,1,0,0,regular
Arsenal 400 Italic,Arsenal,sans-serif,1,0,1,regular
Arsenal 700,Arsenal,sans-serif,1,0,1,bold
Arsenal 700 Italic,Arsenal,sans-serif,1,0,1,bold
Artifika,Artifika,serif,1,1,0,regular
Arvo 400,Arvo,serif,1,1,0,regular
Arvo 400 Italic,Arvo,serif,1,1,1,regular
Arvo 700,Arvo,serif,1,1,1,bold
Arvo 700 Italic,Arvo,serif,1,1,1,bold
Arya 400,Arya,sans-serif,1,0,0,regular
Arya 700,Arya,sans-serif,1,0,0,bold
Asap 400,Asap,sans-serif,1,0,0,regular
Asap 400 Italic,Asap,sans-serif,1,0,1,regular
Asap 500,Asap,sans-serif,1,0,1,medium
Asap 500 Italic,Asap,sans-serif,1,0,1,medium
Asap 600,Asap,sans-serif,1,0,1,semibold
Asap 600 Italic,Asap,sans-serif,1,0,1,semibold
Asap 700,Asap,sans-serif,1,0,1,bold
Asap 700 Italic,Asap,sans-serif,1,0,1,bold
Asap Condensed 400,Asap Condensed,sans-serif,1,0,0,regular
Asap Condensed 400 Italic,Asap Condensed,sans-serif,1,0,1,regular
Asap Condensed 500,Asap Condensed,sans-serif,1,0,1,medium
