name,family,category,is_serif,italic,weight
ABeeZee Regular,ABeeZee,sans-serif,0,0,400
ABeeZee Regular Italic,ABeeZee,sans-serif,0,1,400
Abel,Abel,sans-serif,0,0,400
Abhaya Libre Regular,Abhaya Libre,serif,1,0,400
Abhaya Libre Medium,Abhaya Libre,serif,1,0,500
Abhaya Libre Semi Bold,Abhaya Libre,serif,1,0,600
Abhaya Libre Bold,Abhaya Libre,serif,1,0,700
Abhaya Libre Extra Bold,Abhaya Libre,serif,1,0,800
Abril Fatface,Abril Fatface,display,-1,0,400
Aclonica,Aclonica,sans-serif,0,0,400
Acme,Acme,sans-serif,0,0,400
Actor,Actor,sans-serif,0,0,400
Adamina,Adamina,serif,1,0,400
Advent Pro Thin,Advent Pro,sans-serif,0,0,100
Advent Pro Extra Light,Advent Pro,sans-serif,0,0,200
Advent Pro Light,Advent Pro,sans-serif,0,0,300
Advent Pro Regular,Advent Pro,sans-serif,0,0,400
Advent Pro Medium,Advent Pro,sans-serif,0,0,500
Advent Pro Semi Bold,Advent Pro,sans-serif,0,0,600
Advent Pro Bold,Advent Pro,sans-serif,0,0,700
Aguafina Script,Aguafina Script,handwriting,0,0,400
Akronim,Akronim,display,-1,0,400
Aladin,Aladin,handwriting,0,0,400
Aldrich,Aldrich,sans-serif,0,0,400
Alef Regular,Alef,sans-serif,0,0,400
Alef Bold,Alef,sans-serif,0,0,700
Alegreya Regular,Alegreya,serif,1,0,400
Alegreya Regular Italic,Alegreya,serif,1,1,400
Alegreya Medium,Alegreya,serif,1,1,500
Alegreya Medium Italic,Alegreya,serif,1,1,500
Alegreya Bold,Alegreya,serif,1,1,700
Alegreya Bold Italic,Alegreya,serif,1,1,700
Alegreya Extra Bold,Alegreya,serif,1,1,800
Alegreya Extra Bold Italic,Alegreya,serif,1,1,800
Alegreya Black,Alegreya,serif,1,1,900
Alegreya Black Italic,Alegreya,serif,1,1,900
Alegreya SC Regular,Alegreya SC,serif,1,0,400
Alegreya SC Regular Italic,Alegreya SC,serif,1,1,400
Alegreya SC Medium,Alegreya SC,serif,1,1,500
Alegreya SC Medium Italic,Alegreya SC,serif,1,1,500
Alegreya SC Bold,Alegreya SC,serif,1,1,700
Alegreya SC Bold Italic,Alegreya SC,serif,1,1,700
Alegreya SC Extra Bold,Alegreya SC,serif,1,1,800
Alegreya SC Extra Bold Italic,Alegreya SC,serif,1,1,800
Alegreya SC Black,Alegreya SC,serif,1,1,900
Alegreya SC Black Italic,Alegreya SC,serif,1,1,900
Alegreya Sans Thin,Alegreya Sans,sans-serif,0,0,100
Alegreya Sans Thin Italic,Alegreya Sans,sans-serif,0,1,100
Alegreya Sans Light,Alegreya Sans,sans-serif,0,1,300
Alegreya Sans Light Italic,Alegreya Sans,sans-serif,0,1,300
Alegreya Sans Regular,Alegreya Sans,sans-serif,0,1,400
Alegreya Sans Regular Italic,Alegreya Sans,sans-serif,0,1,400
Alegreya Sans Medium,Alegreya Sans,sans-serif,0,1,500
Alegreya Sans Medium Italic,Alegreya Sans,sans-serif,0,1,500
Alegreya Sans Bold,Alegreya Sans,sans-serif,0,1,700
Alegreya Sans Bold Italic,Alegreya Sans,sans-serif,0,1,700
Alegreya Sans Extra Bold,Alegreya Sans,sans-serif,0,1,800
Alegreya Sans Extra Bold Italic,Alegreya Sans,sans-serif,0,1,800
Alegreya Sans Black,Alegreya Sans,sans-serif,0,1,900
Alegreya Sans Black Italic,Alegreya Sans,sans-serif,0,1,900
Alegreya Sans SC Thin,Alegreya Sans SC,sans-serif,0,0,100
Alegreya Sans SC Thin Italic,Alegreya Sans SC,sans-serif,0,1,100
Alegreya Sans SC Light,Alegreya Sans SC,sans-serif,0,1,300
Alegreya Sans SC Light Italic,Alegreya Sans SC,sans-serif,0,1,300
Alegreya Sans SC Regular,Alegreya Sans SC,sans-serif,0,1,400
Alegreya Sans SC Regular Italic,Alegreya Sans SC,sans-serif,0,1,400
Alegreya Sans SC Medium,Alegreya Sans SC,sans-serif,0,1,500
Alegreya Sans SC Medium Italic,Alegreya Sans SC,sans-serif,0,1,500
Alegreya Sans SC Bold,Alegreya Sans SC,sans-serif,0,1,700
Alegreya Sans SC Bold Italic,Alegreya Sans SC,sans-serif,0,1,700
Alegreya Sans SC Extra Bold,Alegreya Sans SC,sans-serif,0,1,800
Alegreya Sans SC Extra Bold Italic,Alegreya Sans SC,sans-serif,0,1,800
Alegreya Sans SC Black,Alegreya Sans SC,sans-serif,0,1,900
Alegreya Sans SC Black Italic,Alegreya Sans SC,sans-serif,0,1,900
Aleo Light,Aleo,serif,1,0,300
Aleo Light Italic,Aleo,serif,1,1,300
Aleo Regular,Aleo,serif,1,1,400
Aleo Regular Italic,Aleo,serif,1,1,400
Aleo Bold,Aleo,serif,1,1,700
Aleo Bold Italic,Aleo,serif,1,1,700
Alex Brush,Alex Brush,handwriting,0,0,400
Alfa Slab One,Alfa Slab One,display,-1,0,400
Alice,Alice,serif,1,0,400
Alike,Alike,serif,1,0,400
Alike Angular,Alike Angular,serif,1,0,400
Allan Regular,Allan,display,-1,0,400
Allan Bold,Allan,display,-1,0,700
Allerta,Allerta,sans-serif,0,0,400
Allerta Stencil,Allerta Stencil,sans-serif,0,0,400
Allura,Allura,handwriting,0,0,400
Almarai Light,Almarai,sans-serif,0,0,300
Almarai Regular,Almarai,sans-serif,0,0,400
Almarai Bold,Almarai,sans-serif,0,0,700
Almarai Extra Bold,Almarai,sans-serif,0,0,800
Almendra Regular,Almendra,serif,1,0,400
Almendra Regular Italic,Almendra,serif,1,1,400
Almendra Bold,Almendra,serif,1,1,700
Almendra Bold Italic,Almendra,serif,1,1,700
Almendra Display,Almendra Display,display,-1,0,400
Almendra SC,Almendra SC,serif,1,0,400
Amarante,Amarante,display,-1,0,400
Amaranth Regular,Amaranth,sans-serif,0,0,400
Amaranth Regular Italic,Amaranth,sans-serif,0,1,400
Amaranth Bold,Amaranth,sans-serif,0,1,700
Amaranth Bold Italic,Amaranth,sans-serif,0,1,700
Amatic SC Regular,Amatic SC,handwriting,0,0,400
Amatic SC Bold,Amatic SC,handwriting,0,0,700
Amethysta,Amethysta,serif,1,0,400
Amiko Regular,Amiko,sans-serif,0,0,400
Amiko Semi Bold,Amiko,sans-serif,0,0,600
Amiko Bold,Amiko,sans-serif,0,0,700
Amiri Regular,Amiri,serif,1,0,400
Amiri Regular Italic,Amiri,serif,1,1,400
Amiri Bold,Amiri,serif,1,1,700
Amiri Bold Italic,Amiri,serif,1,1,700
Amita Regular,Amita,handwriting,0,0,400
Amita Bold,Amita,handwriting,0,0,700
Anaheim,Anaheim,sans-serif,0,0,400
Andada,Andada,serif,1,0,400
Andika,Andika,sans-serif,0,0,400
Angkor,Angkor,display,-1,0,400
Annie Use Your Telescope,Annie Use Your Telescope,handwriting,0,0,400
Anonymous Pro Regular,Anonymous Pro,monospace,1,0,400
Anonymous Pro Regular Italic,Anonymous Pro,monospace,1,1,400
Anonymous Pro Bold,Anonymous Pro,monospace,1,1,700
Anonymous Pro Bold Italic,Anonymous Pro,monospace,1,1,700
Antic,Antic,sans-serif,0,0,400
Antic Didone,Antic Didone,serif,1,0,400
Antic Slab,Antic Slab,serif,1,0,400
Anton,Anton,sans-serif,0,0,400
Arapey Regular,Arapey,serif,1,0,400
Arapey Regular Italic,Arapey,serif,1,1,400
Arbutus,Arbutus,display,-1,0,400
Arbutus Slab,Arbutus Slab,serif,1,0,400
Architects Daughter,Architects Daughter,handwriting,0,0,400
Archivo Regular,Archivo,sans-serif,0,0,400
Archivo Regular Italic,Archivo,sans-serif,0,1,400
Archivo Medium,Archivo,sans-serif,0,1,500
Archivo Medium Italic,Archivo,sans-serif,0,1,500
Archivo Semi Bold,Archivo,sans-serif,0,1,600
Archivo Semi Bold Italic,Archivo,sans-serif,0,1,600
Archivo Bold,Archivo,sans-serif,0,1,700
Archivo Bold Italic,Archivo,sans-serif,0,1,700
Archivo Black,Archivo Black,sans-serif,0,0,400
Archivo Narrow Regular,Archivo Narrow,sans-serif,0,0,400
Archivo Narrow Regular Italic,Archivo Narrow,sans-serif,0,1,400
Archivo Narrow Medium,Archivo Narrow,sans-serif,0,1,500
Archivo Narrow Medium Italic,Archivo Narrow,sans-serif,0,1,500
Archivo Narrow Semi Bold,Archivo Narrow,sans-serif,0,1,600
Archivo Narrow Semi Bold Italic,Archivo Narrow,sans-serif,0,1,600
Archivo Narrow Bold,Archivo Narrow,sans-serif,0,1,700
Archivo Narrow Bold Italic,Archivo Narrow,sans-serif,0,1,700
Aref Ruqaa Regular,Aref Ruqaa,serif,1,0,400
Aref Ruqaa Bold,Aref Ruqaa,serif,1,0,700
Arima Madurai Thin,Arima Madurai,display,-1,0,100
Arima Madurai Extra Light,Arima Madurai,display,-1,0,200
Arima Madurai Light,Arima Madurai,display,-1,0,300
Arima Madurai Regular,Arima Madurai,display,-1,0,400
Arima Madurai Medium,Arima Madurai,display,-1,0,500
Arima Madurai Bold,Arima Madurai,display,-1,0,700
Arima Madurai Extra Bold,Arima Madurai,display,-1,0,800
Arima Madurai Black,Arima Madurai,display,-1,0,900
Arimo Regular,Arimo,sans-serif,0,0,400
Arimo Regular Italic,Arimo,sans-serif,0,1,400
Arimo Bold,Arimo,sans-serif,0,1,700
Arimo Bold Italic,Arimo,sans-serif,0,1,700
Arizonia,Arizonia,handwriting,0,0,400
Armata,Armata,sans-serif,0,0,400
Arsenal Regular,Arsenal,sans-serif,0,0,400
Arsenal Regular Italic,Arsenal,sans-serif,0,1,400
Arsenal Bold,Arsenal,sans-serif,0,1,700
Arsenal Bold Italic,Arsenal,sans-serif,0,1,700
Artifika,Artifika,serif,1,0,400
Arvo Regular,Arvo,serif,1,0,400
Arvo Regular Italic,Arvo,serif,1,1,400
Arvo Bold,Arvo,serif,1,1,700
Arvo Bold Italic,Arvo,serif,1,1,700
Arya Regular,Arya,sans-serif,0,0,400
Arya Bold,Arya,sans-serif,0,0,700
Asap Regular,Asap,sans-serif,0,0,400
Asap Regular Italic,Asap,sans-serif,0,1,400
Asap Medium,Asap,sans-serif,0,1,500
Asap Medium Italic,Asap,sans-serif,0,1,500
Asap Semi Bold,Asap,sans-serif,0,1,600
Asap Semi Bold Italic,Asap,sans-serif,0,1,600
Asap Bold,Asap,sans-serif,0,1,700
Asap Bold Italic,Asap,sans-serif,0,1,700
Asap Condensed Regular,Asap Condensed,sans-serif,0,0,400
Asap Condensed Regular Italic,Asap Condensed,sans-serif,0,1,400
Asap Condensed Medium,Asap Condensed,sans-serif,0,1,500
Asap Condensed Medium Italic,Asap Condensed,sans-serif,0,1,500
Asap Condensed Semi Bold,Asap Condensed,sans-serif,0,1,600
Asap Condensed Semi Bold Italic,Asap Condensed,sans-serif,0,1,600
Asap Condensed Bold,Asap Condensed,sans-serif,0,1,700
Asap Condensed Bold Italic,Asap Condensed,sans-serif,0,1,700
Asar,Asar,serif,1,0,400
Asset,Asset,display,-1,0,400
Assistant Extra Light,Assistant,sans-serif,0,0,200
