name,family,category,is_body,is_serif,is_italic,weight,glyphs,
ABeeZee Regular,ABeeZee,informal,1,0,0,400,,check for serif/italic/body
ABeeZee Regular Italic,ABeeZee,informal,1,0,1,400,,
Abel,Abel,contemporary,1,0,0,400,,
Abhaya Libre Bold,Abhaya Libre,modern,1,1,0,700,,
Abhaya Libre Extra Bold,Abhaya Libre,modern,1,1,0,800,,
Abhaya Libre Medium,Abhaya Libre,modern,1,1,0,500,,
Abhaya Libre Regular,Abhaya Libre,modern,1,1,0,400,,
Abhaya Libre Semi Bold,Abhaya Libre,modern,1,1,0,600,,
Abril Fatface,Abril Fatface,display,0,1,0,400,,
Aclonica,Aclonica,display,1,0,0,400,,
Acme,Acme,display,1,0,0,400,,
Actor,Actor,contemporary,1,0,0,400,,
Adamina,Adamina,oldstyle,1,1,0,400,,
Advent Pro Bold,Advent Pro,contemporary,1,0,0,700,,
Advent Pro Extra Light,Advent Pro,contemporary,1,0,0,200,,
Advent Pro Light,Advent Pro,contemporary,1,0,0,300,,
Advent Pro Medium,Advent Pro,contemporary,1,0,0,500,,
Advent Pro Regular,Advent Pro,contemporary,1,0,0,400,,
Advent Pro Semi Bold,Advent Pro,contemporary,1,0,0,600,,
Advent Pro Thin,Advent Pro,contemporary,1,0,0,100,,
Aguafina Script,Aguafina Script,script,0,0,1,400,,
Akronim,Akronim,display,0,1,0,400,,
Aladin,Aladin,script,1,0,0,400,,
Aldrich,Aldrich,modern,1,0,0,400,,
Alef Bold,Alef,modern,1,0,0,700,,
Alef Regular,Alef,modern,1,0,0,400,,
Alegreya Black,Alegreya,oldstyle,1,1,0,900,,
Alegreya Black Italic,Alegreya,oldstyle,1,1,1,900,,
Alegreya Bold,Alegreya,oldstyle,1,1,0,700,,
Alegreya Bold Italic,Alegreya,oldstyle,1,1,1,700,,
Alegreya Extra Bold,Alegreya,oldstyle,1,1,0,800,,
Alegreya Extra Bold Italic,Alegreya,oldstyle,1,1,1,800,,
Alegreya Medium,Alegreya,oldstyle,1,1,0,500,,
Alegreya Medium Italic,Alegreya,oldstyle,1,1,1,500,,
Alegreya Regular,Alegreya,oldstyle,1,1,0,400,,
Alegreya Regular Italic,Alegreya,oldstyle,1,1,1,400,,
Alegreya Sans Black,Alegreya Sans,humanist,1,0,1,900,,
Alegreya Sans Black Italic,Alegreya Sans,humanist,1,0,1,900,,
Alegreya Sans Bold,Alegreya Sans,humanist,1,0,1,700,,
Alegreya Sans Bold Italic,Alegreya Sans,humanist,1,0,1,700,,
Alegreya Sans Extra Bold,Alegreya Sans,humanist,1,0,1,800,,
Alegreya Sans Extra Bold Italic,Alegreya Sans,humanist,1,0,1,800,,
Alegreya Sans Light,Alegreya Sans,humanist,1,0,1,300,,
Alegreya Sans Light Italic,Alegreya Sans,humanist,1,0,1,300,,
Alegreya Sans Medium,Alegreya Sans,humanist,1,0,1,500,,
Alegreya Sans Medium Italic,Alegreya Sans,humanist,1,0,1,500,,
Alegreya Sans Regular,Alegreya Sans,humanist,1,0,1,400,,
Alegreya Sans Regular Italic,Alegreya Sans,humanist,1,0,1,400,,
Alegreya Sans Thin,Alegreya Sans,humanist,1,0,0,100,,
Alegreya Sans Thin Italic,Alegreya Sans,humanist,1,0,1,100,,
Alegreya Sans SC Black,Alegreya Sans SC,humanist,1,0,1,900,,
Alegreya Sans SC Black Italic,Alegreya Sans SC,humanist,1,0,1,900,,
Alegreya Sans SC Bold,Alegreya Sans SC,humanist,1,0,1,700,,
Alegreya Sans SC Bold Italic,Alegreya Sans SC,humanist,1,0,1,700,,
Alegreya Sans SC Extra Bold,Alegreya Sans SC,humanist,1,0,1,800,,
Alegreya Sans SC Extra Bold Italic,Alegreya Sans SC,humanist,1,0,1,800,,
Alegreya Sans SC Light,Alegreya Sans SC,humanist,1,0,1,300,,
Alegreya Sans SC Light Italic,Alegreya Sans SC,humanist,1,0,1,300,,
Alegreya Sans SC Medium,Alegreya Sans SC,humanist,1,0,1,500,,
Alegreya Sans SC Medium Italic,Alegreya Sans SC,humanist,1,0,1,500,,
Alegreya Sans SC Regular,Alegreya Sans SC,humanist,1,0,1,400,,
Alegreya Sans SC Regular Italic,Alegreya Sans SC,humanist,1,0,1,400,,
Alegreya Sans SC Thin,Alegreya Sans SC,humanist,1,0,0,100,,
Alegreya Sans SC Thin Italic,Alegreya Sans SC,humanist,1,0,1,100,,
Alegreya SC Black,Alegreya SC,oldstyle,1,1,0,900,,
Alegreya SC Black Italic,Alegreya SC,oldstyle,1,1,1,900,,
Alegreya SC Bold,Alegreya SC,oldstyle,1,1,0,700,,
Alegreya SC Bold Italic,Alegreya SC,oldstyle,1,1,1,700,,
Alegreya SC Extra Bold,Alegreya SC,oldstyle,1,1,0,800,,
Alegreya SC Extra Bold Italic,Alegreya SC,oldstyle,1,1,1,800,,
Alegreya SC Medium,Alegreya SC,oldstyle,1,1,0,500,,
Alegreya SC Medium Italic,Alegreya SC,oldstyle,1,1,1,500,,
Alegreya SC Regular,Alegreya SC,oldstyle,1,1,0,400,,
Alegreya SC Regular Italic,Alegreya SC,oldstyle,1,1,1,400,,
Aleo Bold,Aleo,contemporary,1,1,1,700,,
Aleo Bold Italic,Aleo,contemporary,1,1,1,700,,
Aleo Light,Aleo,contemporary,1,1,0,300,,
Aleo Light Italic,Aleo,contemporary,1,1,1,300,,
Aleo Regular,Aleo,contemporary,1,1,1,400,,
Aleo Regular Italic,Aleo,contemporary,1,1,1,400,,
Alex Brush,Alex Brush,script,1,0,0,400,,
Alfa Slab One,Alfa Slab One,contemporary,0,1,0,400,,
Alice,Alice,oldstyle,1,1,0,400,,
Alike,Alike,oldstyle,1,1,0,400,,
Alike Angular,Alike Angular,oldstyle,1,1,0,400,,
Allan Bold,Allan,display,0,0,0,700,,
Allan Regular,Allan,display,0,0,0,400,,
Allerta,Allerta,contemporary,1,0,0,400,,
Allerta Stencil,Allerta Stencil,display,1,0,0,400,,
Allura,Allura,script,0,0,1,400,,
Almendra Bold,Almendra,medieval,1,1,1,700,,
Almendra Bold Italic,Almendra,medieval,1,1,1,700,,
Almendra Regular,Almendra,medieval,1,1,0,400,,
Almendra Regular Italic,Almendra,medieval,1,1,1,400,,
Almendra Display,Almendra Display,medieval,0,1,0,400,,
Almendra SC,Almendra SC,medieval,1,1,0,400,,
Amarante,Amarante,medieval,0,1,0,400,,
Amaranth Bold,Amaranth,modern,1,0,1,700,,
Amaranth Bold Italic,Amaranth,modern,1,0,1,700,,
Amaranth Regular,Amaranth,modern,1,0,0,400,,
Amaranth Regular Italic,Amaranth,modern,1,0,1,400,,
Amatic SC Bold,Amatic SC,handwriting,1,0,0,700,,
Amatic SC Regular,Amatic SC,handwriting,1,0,0,400,,
Amethysta,Amethysta,oldstyle,1,1,0,400,,
Amiko Bold,Amiko,contemporary,1,0,0,700,,
Amiko Regular,Amiko,contemporary,1,0,0,400,,
Amiko Semi Bold,Amiko,contemporary,1,0,0,600,,
