family,serif
Abril Fatface,1
Akronim,1
Alfa Slab One,1
Allan,0
Almendra Display,1
Amarante,1
Arbutus,1
Arima Madurai,1
Asset,1
Astloch,1
Atma,0
Atomic Age,1
Aubrey,0
Audiowide,0
Autour One,1
Averia Gruesa Libre,0
Averia Libre,0
Bahiana,0
Bahianita,1
Baloo,0
Baloo Bhai,0
Baloo Bhaijaan,0
Baloo Bhaina,0
Baloo Chettan,0
Baloo Da,0
Baloo Paaji,0
Baloo Tamma,0
Baloo Tammudu,0
Baloo Thambi,0
Bangers,0
Barriecito,1
Barrio,0
Baumans,1
Bevan,1
Big Shoulders Display,0
Big Shoulders Text,0
Bigelow Rules,1
Bigshot One,1
Black Ops One,0
Boogaloo,0
Bowlby One,0
Bowlby One SC,0
Buda,1
Bungee,1
Bungee Hairline,1
Bungee Inline,1
Bungee Outline,1
Bungee Shade,1
Butcherman,1
Cabin Sketch,0
Caesar Dressing,0
Carter One,1
Ceviche One,1
Changa One,0
Chango,0
Chela One,1
Chelsea Market,0
Cherry Cream Soda,0
Cherry Swash,1
Chewy,0
Chicle,1
Chonburi,1
Cinzel Decorative,1
Coda,0
Codystar,0
Coiny,0
Combo,0
Comfortaa,0
Concert One,0
Contrail One,0
Corben,1
Creepster,1
Croissant One,1
Crushed,0
Cute Font,0
Diplomata,1
Diplomata SC,1
Dynalight,1
Eater,1
Elsie,1
Elsie Swash Caps,1
Emblema One,1
Emilys Candy,1
Erica One,0
Ewert,1
Farsan,0
Fascinate,1
Fascinate Inline,1
Faster One,0
Federant,1
Finger Paint,0
Flamenco,1
Flavors,1
Fontdiner Swanky,1
Forum,1
Freckle Face,1
Fredericka the Great,1
Fredoka One,1
Frijole,0
Fruktur,1
Fugaz One,1
Galada,1
Galindo,0
Geostar,1
Geostar Fill,1
Germania One,1
Glass Antiqua,1
Goblin One,1
Gorditas,1
Graduate,1
Gravitas One,1
Griffy,1
Gruppo,0
Gugi,0
Hanalei,0
Hanalei Fill,0
Happy Monkey,0
Henny Penny,1
Iceberg,1
Iceland,1
Irish Grover,1
Jacques Francois Shadow,1
Jolly Lodger,0
Jomhuria,1
Joti One,0
Katibeh,1
Kavoon,1
Keania One,1
Kelly Slab,1
Kenia,1
Kirang Haerang,0
Knewave,0
Kranky,1
Kumar One,1
Kumar One Outline,1
Lalezar,1
Lancelot,1
Lemon,1
Lemonada,1
Life Savers,1
Lilita One,1
Lily Script One,1
Limelight,1
Lobster,1
Lobster Two,1
Londrina Outline,1
Londrina Shadow,1
Londrina Sketch,1
Londrina Solid,1
Love Ya Like A Sister,1
Luckiest Guy,0
Macondo,1
Macondo Swash Caps,1
Maiden Orange,1
Margarine,1
McLaren,0
MedievalSharp,1
Medula One,1
Megrim,0
Metal Mania,1
Metamorphous,1
Milonga,1
Miltonian,1
Miltonian Tattoo,1
Miniver,1
Mirza,1
Modak,1
Modern Antiqua,1
Mogra,1
Monofett,0
Monoton,0
Mountains of Christmas,1
Mystery Quest,1
New Rocker,1
Nixie One,1
Nosifer,0
Nova Cut,1
Nova Flat,0
Nova Oval,1
Nova Round,0
Nova Script,1
Nova Slim,1
Nova Square,0
Offside,0
Oldenburg,1
Oleo Script,1
Oleo Script Swash Caps,1
Oregano,0
Original Surfer,1
Overlock,1
Overlock SC,1
Paprika,1
Passero One,0
Passion One,0
Patua One,1
Peralta,1
Piedra,1
Pirata One,1
Plaster,0
Playball,1
Poiret One,0
Poller One,1
Pompiere,0
Poor Story,0
Press Start 2P,1
Prosto One,1
Purple Purse,1
Rakkas,1
Raleway Dots,0
Rammetto One,0
Ranchers,0
Ranga,0
Ravi Prakash,0
Revalia,1
Ribeye,1
Ribeye Marrow,1
Righteous,1
Risque,1
Ruslan Display,1
Rye,1
Sail,1
Saira Stencil One,0
Salsa,1
Sancreek,1
Sarina,1
Seaweed Script,1
Sevillana,1
Share,1
Shojumaru,1
Shrikhand,1
Sigmar One,0
Simonetta,1
Sirin Stencil,1
Skranji,1
Slackey,0
Smokum,1
Smythe,1
Sniglet,0
Snowburst One,1
Sofadi One,0
Sonsie One,1
Special Elite,1
Spicy Rice,1
Spirax,1
Squada One,1
Srisakdi,1
Staatliches,0
Stalinist One,1
Stardos Stencil,1
Stint Ultra Condensed,1
Stint Ultra Expanded,1
Supermercado One,1
Titan One,0
Trade Winds,1
Trochut,1
Tulpen One,1
Turret Road,0
Uncial Antiqua,1
Underdog,1
Unica One,0
UnifrakturCook,1
UnifrakturMaguntia,1
Unkempt,1
Unlock,1
Vampiro One,1
Vast Shadow,1
Vibes,0
Voces,1
Wallpoet,1
Warnes,1
Wellfleet,1
Yatra One,1
Yeon Sung,1
Yeseva One,1
ZCOOL KuaiLe,0
ZCOOL QingKe HuangYou,0
Zilla Slab Highlight,1
