family,category,is_body,is_serif,is_italic,weight,url,idx
627,3,1,0,1,6,http://fonts.google.com/specimen/Open+Sans,1878
627,3,1,0,1,6,http://fonts.google.com/specimen/Open+Sans,1879
627,3,1,0,1,2,http://fonts.google.com/specimen/Open+Sans,1884
627,3,1,0,1,7,http://fonts.google.com/specimen/Open+Sans,1881
627,3,1,0,1,1,http://fonts.google.com/specimen/Open+Sans,1882
627,3,1,0,1,1,http://fonts.google.com/specimen/Open+Sans,1883
621,3,1,0,1,6,http://fonts.google.com/specimen/Nunito+Sans,1857
627,3,1,0,1,4,http://fonts.google.com/specimen/Open+Sans,1877
627,3,1,0,1,7,http://fonts.google.com/specimen/Open+Sans,1880
621,3,1,0,1,6,http://fonts.google.com/specimen/Nunito+Sans,1858
